Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2018-2019/169 DBR.No.Ret.BC.36/12.06.096/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/exclusion-of-dbs-bank-ltd-from-the-second-schedule-of-the-reserve-bank-of-india-act-1934-11537,"Apr 16, 2019",Department of Banking Regulation,"Exclusion of “DBS Bank Ltd” from the Second Schedule of the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Exclusion_of_DBS_Bank_Ltd_from_the_Second_Schedule_20250108051437.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exclusion_of_DBS_Bank_Ltd_from_the_Second_Schedule_20250108051437.pdf,2025-01-08T05:14:42.711150,,
RBI/2018-2019/168 Ref.No.IDMD/2898/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11536,"Apr 12, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108051442.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051442.pdf,2025-01-08T05:14:48.601761,,
F. No. 4 (6) W&M / 2018,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11535,"Apr 12, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051448.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051448.pdf,2025-01-08T05:14:53.198264,,
RBI/2018-2019/167 A.P.(DIR Series) Circular No.29,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-foreign-currency-accounts-by-a-person-resident-in-india-regulations-2015-opening-of-foreign-currency-accounts-by-re-insurance-and-composite-insurance-brokers-11533,"Apr 11, 2019",Foreign Exchange Department,"Foreign Exchange Management (Foreign Currency Accounts by a person resident in India) Regulations, 2015 - Opening of Foreign Currency Accounts by Re-insurance and Composite Insurance brokers",All Category - I Authorised Dealers and Authorised Banks,Foreign_Exchange_Management_Foreign_Currency_Accou_20250108051453.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Foreign_Currency_Accou_20250108051453.pdf,2025-01-08T05:14:57.860478,,
RBI/2018-2019/165 Ref.No.IDMD/2820/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11531,"Apr 08, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108051501.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051501.pdf,2025-01-08T05:15:05.986917,,
RBI/2018-2019/166 DCM (CC) No.2482/03.39.01/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/minimum-standards-for-a-currency-chest-11532,"Apr 08, 2019",Department of Currency Management,Minimum Standards for a Currency Chest,Chairman/Managing Director/ Chief Executive Director All banks,Minimum_Standards_for_a_Currency_Chest_20250108051505.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Minimum_Standards_for_a_Currency_Chest_20250108051505.pdf,2025-01-08T05:15:11.203383,,
F. No. 4 (6) W&M / 2019:,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11530,"Apr 08, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051511.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051511.pdf,2025-01-08T05:15:16.289121,,
RBI/2018-2019/164 DBR.BP.BC.No.34/21.04.098/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/basel-iii-framework-on-liquidity-standards-liquidity-coverage-ratio-lcr-liquidity-risk-monitoring-tools-and-lcr-disclosure-standards-11529,"Apr 04, 2019",Department of Banking Regulation,"Basel III Framework on Liquidity Standards - Liquidity Coverage Ratio (LCR), Liquidity Risk Monitoring Tools and LCR Disclosure Standards",All Scheduled Commercial Banks (Excluding RRBs) & Small Finance Banks,Basel_III_Framework_on_Liquidity_Standards___Liqui_20250108051516.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Basel_III_Framework_on_Liquidity_Standards___Liqui_20250108051516.pdf,2025-01-08T05:15:21.672842,,
RBI/2018-2019/163 REF.No.MPD.BC.386/07.01.279/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-11528,"Apr 04, 2019",Monetary Policy Department,Standing Liquidity Facility for Primary Dealers,All Primary Dealers,Standing_Liquidity_Facility_for_Primary_Dealers_20250108051521.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Standing_Liquidity_Facility_for_Primary_Dealers_20250108051521.pdf,2025-01-08T05:15:26.422691,,
RBI/2018-2019/162 DBR.No.Ret.BC.33/12.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-11527,"Apr 04, 2019",Department of Banking Regulation,Change in Bank Rate,The Chairperson / CEOs of all Scheduled and Non Scheduled Banks,Change_in_Bank_Rate_20250108051526.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108051526.pdf,2025-01-08T05:15:31.297963,,
RBI/2018-2019/160 FMOD.MAOG.No.130/01.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-repo-and-reverse-repo-rates-11525,"Apr 04, 2019",Financial Markets Operation Department,Liquidity Adjustment Facility - Repo and Reverse Repo Rates,All Liquidity Adjustment Facility (LAF) participants,Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108051531.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108051531.pdf,2025-01-08T05:15:36.567226,,
RBI/2018-2019/161 FMOD.MAOG. No.131/01.18.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/marginal-standing-facility-11526,"Apr 04, 2019",Financial Markets Operation Department,Marginal Standing Facility,All Marginal Standing Facility (MSF) participants,Marginal_Standing_Facility_20250108051536.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Marginal_Standing_Facility_20250108051536.pdf,2025-01-08T05:15:41.441667,,
F.No.4(6) W & M / 2018,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11524,"Apr 01, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051541.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051541.pdf,2025-01-08T05:15:46.598594,,
RBI/2018-2019/159 Ref.No.IDMD/2744/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11523,"Apr 01, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051546.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051546.pdf,2025-01-08T05:15:51.460559,,
RBI/2018-2019/158 FIDD.CO.LBS.BC.No.17/02.08.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/assignment-of-lead-bank-responsibility-11522,"Apr 01, 2019",Financial Inclusion and Development Department,Assignment of Lead Bank Responsibility,The Chairmen & Managing Directors/Chief Executive Officers All Lead Banks,Assignment_of_Lead_Bank_Responsibility_20250108051556.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Assignment_of_Lead_Bank_Responsibility_20250108051556.pdf,2025-01-08T05:16:01.135857,,
RBI/2018-2019/156 DBR.No.BP.BC.31/21.01.003/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/large-exposures-framework-lef-11520,"Apr 01, 2019",Department of Banking Regulation,Large Exposures Framework (LEF),All Scheduled Commercial Banks (Excluding Regional Rural Banks),Large_Exposures_Framework_LEF_20250108051601.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Large_Exposures_Framework_LEF_20250108051601.pdf,2025-01-08T05:16:08.576627,,
RBI/2018-2019/157 DBR.BP.BC.No.32/21.04.018/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/disclosure-in-the-notes-to-accounts-to-the-financial-statements-divergence-in-the-asset-classification-and-provisioning-11521,"Apr 01, 2019",Department of Banking Regulation,"Disclosure in the ""Notes to Accounts"" to the Financial Statements - Divergence in the asset classification and provisioning",All Commercial Banks (Excluding Regional Rural Banks),Disclosure_in_the_Notes_to_Accounts_to_the_Financi_20250108051608.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Disclosure_in_the_Notes_to_Accounts_to_the_Financi_20250108051608.pdf,2025-01-08T05:16:13.726695,,
RBI/2018-2019/155 A.P.(DIR Series) Circular No.28,https://website.rbi.org.in/web/rbi/-/notifications/foreign-exchange-management-deposit-regulations-2016-opening-of-nro-accounts-by-long-term-visa-ltv-holders-changes-related-to-special-non-resident-rupee-snrr-account-and-escrow-account-11515,"Mar 28, 2019",Foreign Exchange Department,"Foreign Exchange Management (Deposit) Regulations, 2016 - Opening of NRO Accounts by Long Term Visa (LTV) holders, changes related to Special Non-Resident Rupee (SNRR) Account and Escrow Account",All Category - I Authorised Dealers and Authorised Banks,Foreign_Exchange_Management_Deposit_Regulations_20_20250108051613.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Foreign_Exchange_Management_Deposit_Regulations_20_20250108051613.pdf,2025-01-08T05:16:19.104797,,
RBI/2018-2019/154 A.P. (DIR Series) Circular No. 27,https://website.rbi.org.in/web/rbi/-/notifications/establishment-of-branch-office-bo-liaison-office-lo-project-office-po-or-any-other-place-of-business-in-india-by-foreign-entities-11516,"Mar 28, 2019",Foreign Exchange Department,Establishment of Branch Office (BO) / Liaison Office (LO) / Project Office (PO) or any other place of business in India by foreign entities,All Category - I Authorized Dealer Banks,Establishment_of_Branch_Office_BO__Liaison_Office__20250108051619.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Establishment_of_Branch_Office_BO__Liaison_Office__20250108051619.pdf,2025-01-08T05:16:23.953440,,
RBI/2018-2019/153 DPSS.CO.RPPD.No./2089/03.01.03/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/special-clearing-operations-on-march-30-and-31-2019-11514,"Mar 28, 2019",Department of Payment and Settlement Systems,"Special Clearing operations on March 30 and 31, 2019",The Chairman and Managing Director / Chief Executive Officer All Scheduled Commercial Banks including Regional Rural Banks / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Local Area Banks,Special_Clearing_operations_on_March_30_and_31_201_20250108051623.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Special_Clearing_operations_on_March_30_and_31_201_20250108051623.pdf,2025-01-08T05:16:36.895304,,
RBI/2018-2019/152 A.P. (DIR Series) Circular No. 26,https://website.rbi.org.in/web/rbi/-/notifications/investment-by-foreign-portfolio-investors-fpi-in-government-securities-medium-term-framework-11513,"Mar 27, 2019",Financial Markets Regulation Department,Investment by Foreign Portfolio Investors (FPI) in Government Securities Medium Term Framework,All Authorised Persons,Investment_by_Foreign_Portfolio_Investors_FPI_in_G_20250108051636.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Investment_by_Foreign_Portfolio_Investors_FPI_in_G_20250108051636.pdf,2025-01-08T05:16:41.953274,,
RBI/2018-2019/151 FMRD.DIRD.13/14.03.041/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/non-resident-participation-in-rupee-interest-rate-derivatives-markets-reserve-bank-directions-2019-11512,"Mar 27, 2019",Financial Markets Regulation Department,"Non-resident Participation in Rupee Interest Rate Derivatives Markets (Reserve Bank) Directions, 2019",All participants in rupee interest rate derivative markets,Non_resident_Participation_in_Rupee_Interest_Rate__20250108051641.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Non_resident_Participation_in_Rupee_Interest_Rate__20250108051641.pdf,2025-01-08T05:16:47.190186,,
RBI/2018-2019/150 DBR.No.Leg.BC.30/09.07.005/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/all-agency-banks-to-remain-open-for-public-on-march-31-2019-sunday-11511,"Mar 26, 2019",Department of Banking Regulation,"All Agency Banks to remain open for public on March 31, 2019 (Sunday)",All Agency Banks,All_Agency_Banks_to_remain_open_for_public_on_Marc_20250108051647.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/All_Agency_Banks_to_remain_open_for_public_on_Marc_20250108051647.pdf,2025-01-08T05:16:52.197906,,
RBI/FED/2018-2019/67 FED Master Direction No.5/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-external-commercial-borrowings-trade-credits-and-structured-obligations-updated-as-on-september-30-2022-lt-a-gt-supersedes-master-direction-external-commercial-borrowings-trade-credit-borrowing-and-lending-in-11510,"Mar 26, 2019",Foreign Exchange Department,"Master Direction - External Commercial Borrowings, Trade Credits and Structured Obligations (Updated as on December 22, 2023)(Supersedes Master Direction - External Commercial Borrowings, Trade Credit, Borrowing and Lending in Foreign Currency by Authorised Dealers and Persons other than Authorised Dealers (Updated as on November 22, 2018))",All Authorised Dealer Category - I banks and Authorised Banks,Master_Direction___External_Commercial_Borrowings__20250108051652.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction___External_Commercial_Borrowings__20250108051652.pdf,2025-01-08T05:17:03.265190,,
RBI/2018-2019/148 DBR.No.Ret.BC.28/12.06.096/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-dbs-bank-india-limited-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934-11508,"Mar 26, 2019",Department of Banking Regulation,"Inclusion of “DBS Bank India Limited” in the Second Schedule of the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_DBS_Bank_India_Limited_in_the_Second__20250108051707.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_DBS_Bank_India_Limited_in_the_Second__20250108051707.pdf,2025-01-08T05:17:12.162544,,
RBI/2018-2019/149 DGBA.GBD.No.2430/42.01.029/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/annual-closing-of-government-accounts-transactions-of-central-state-governments-special-measures-for-the-current-financial-year-2018-19-11509,"Mar 26, 2019",Department of Government and Bank Accounts,Annual Closing of Government Accounts - Transactions of Central / State Governments - Special Measures for the Current Financial Year (2018-19),All Agency Banks,Annual_Closing_of_Government_Accounts___Transactio_20250108051712.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Annual_Closing_of_Government_Accounts___Transactio_20250108051712.pdf,2025-01-08T05:17:17.111870,,
RBI/2018-2019/147 FIDD.CO.LBS.BC. No.16/02.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/assignment-of-slbc-utlbc-convenorship-state-of-gujarat-and-union-territories-of-daman-amp-diu-and-dadra-amp-nagar-haveli-11507,"Mar 25, 2019",Financial Inclusion and Development Department,Assignment of SLBC/UTLBC Convenorship - State of Gujarat and Union Territories of Daman & Diu and Dadra & Nagar Haveli,The Chairmen / Managing Directors & CEOs SLBC/UTLBC Convenor Banks,Assignment_of_SLBCUTLBC_Convenorship___State_of_Gu_20250108051717.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Assignment_of_SLBCUTLBC_Convenorship___State_of_Gu_20250108051717.pdf,2025-01-08T05:17:22.530367,,
RBI/2018-2019/146 DBR.BP.BC.No.29/21.07.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/deferral-of-implementation-of-indian-accounting-standards-ind-as-11506,"Mar 22, 2019",Department of Banking Regulation,Deferral of Implementation of Indian Accounting Standards (Ind AS),All Scheduled Commercial Banks (excluding Regional Rural Banks),Deferral_of_Implementation_of_Indian_Accounting_St_20250108051722.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Deferral_of_Implementation_of_Indian_Accounting_St_20250108051722.pdf,2025-01-08T05:17:27.549931,,
RBI/2018-2019/145 A.P. (DIR Series) Circular No. 25,https://website.rbi.org.in/web/rbi/-/notifications/compilation-of-r-returns-reporting-under-feters-11505,"Mar 20, 2019",Foreign Exchange Department,Compilation of R-Returns: Reporting under FETERS,All Authorised Dealers in Foreign Exchange,Compilation_of_R_Returns_Reporting_under_FETERS_20250108051727.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Compilation_of_R_Returns_Reporting_under_FETERS_20250108051727.pdf,2025-01-08T05:17:32.269187,,
